id_proposicao,ano_proposicao,data_proposicao,sigla,tipo,tema,id_votacao,data_votacao,sigla_orgao,aprovacao,voto_sim,voto_nao,voto_outro,ano_votacao,total_votos,percentual_voto_sim,percentual_voto_sim_intervalo
355428,2007,2007-06-12,EMP,Emenda de Plenário,,35374167.0,2007-06-13,PLEN,0.0,194.0,245.0,5.0,2007,444.0,0.4369369369369369,41-50%
355428,2007,2007-06-12,EMP,Emenda de Plenário,,353741128.0,2007-06-27,PLEN,0.0,203.0,240.0,1.0,2007,444.0,0.4572072072072072,41-50%
355428,2007,2007-06-12,EMP,Emenda de Plenário,,353741160.0,2007-07-11,PLEN,0.0,190.0,247.0,2.0,2007,439.0,0.4328018223234624,41-50%
355358,2007,2007-05-24,EMP,Emenda de Plenário,,35374167.0,2007-06-13,PLEN,0.0,194.0,245.0,5.0,2007,444.0,0.4369369369369369,41-50%
355358,2007,2007-05-24,EMP,Emenda de Plenário,,353741128.0,2007-06-27,PLEN,0.0,203.0,240.0,1.0,2007,444.0,0.4572072072072072,41-50%
355358,2007,2007-05-24,EMP,Emenda de Plenário,,353741160.0,2007-07-11,PLEN,0.0,190.0,247.0,2.0,2007,439.0,0.4328018223234624,41-50%
355415,2007,2007-06-12,EMP,Emenda de Plenário,,353741160.0,2007-07-11,PLEN,0.0,190.0,247.0,2.0,2007,439.0,0.4328018223234624,41-50%
355415,2007,2007-06-12,EMP,Emenda de Plenário,,353741128.0,2007-06-27,PLEN,0.0,203.0,240.0,1.0,2007,444.0,0.4572072072072072,41-50%
355415,2007,2007-06-12,EMP,Emenda de Plenário,,35374167.0,2007-06-13,PLEN,0.0,194.0,245.0,5.0,2007,444.0,0.4369369369369369,41-50%
355422,2007,2007-06-12,EMP,Emenda de Plenário,,353741160.0,2007-07-11,PLEN,0.0,190.0,247.0,2.0,2007,439.0,0.4328018223234624,41-50%
355422,2007,2007-06-12,EMP,Emenda de Plenário,,35374167.0,2007-06-13,PLEN,0.0,194.0,245.0,5.0,2007,444.0,0.4369369369369369,41-50%
355422,2007,2007-06-12,EMP,Emenda de Plenário,,353741128.0,2007-06-27,PLEN,0.0,203.0,240.0,1.0,2007,444.0,0.4572072072072072,41-50%
355328,2007,2007-06-05,EMP,Emenda de Plenário,,353741128.0,2007-06-27,PLEN,0.0,203.0,240.0,1.0,2007,444.0,0.4572072072072072,41-50%
355328,2007,2007-06-05,EMP,Emenda de Plenário,,35374167.0,2007-06-13,PLEN,0.0,194.0,245.0,5.0,2007,444.0,0.4369369369369369,41-50%
355328,2007,2007-06-05,EMP,Emenda de Plenário,,353741160.0,2007-07-11,PLEN,0.0,190.0,247.0,2.0,2007,439.0,0.4328018223234624,41-50%
355375,2007,2007-06-13,EMP,Emenda de Plenário,,353741128.0,2007-06-27,PLEN,0.0,203.0,240.0,1.0,2007,444.0,0.4572072072072072,41-50%
355375,2007,2007-06-13,EMP,Emenda de Plenário,,353741160.0,2007-07-11,PLEN,0.0,190.0,247.0,2.0,2007,439.0,0.4328018223234624,41-50%
355377,2007,2007-06-13,EMP,Emenda de Plenário,,353741160.0,2007-07-11,PLEN,0.0,190.0,247.0,2.0,2007,439.0,0.4328018223234624,41-50%
355377,2007,2007-06-13,EMP,Emenda de Plenário,,353741128.0,2007-06-27,PLEN,0.0,203.0,240.0,1.0,2007,444.0,0.4572072072072072,41-50%
355378,2007,2007-06-12,EMP,Emenda de Plenário,,353741128.0,2007-06-27,PLEN,0.0,203.0,240.0,1.0,2007,444.0,0.4572072072072072,41-50%
355378,2007,2007-06-12,EMP,Emenda de Plenário,,353741160.0,2007-07-11,PLEN,0.0,190.0,247.0,2.0,2007,439.0,0.4328018223234624,41-50%
355378,2007,2007-06-12,EMP,Emenda de Plenário,,35374167.0,2007-06-13,PLEN,0.0,194.0,245.0,5.0,2007,444.0,0.4369369369369369,41-50%
355379,2007,2007-06-12,EMP,Emenda de Plenário,,35374167.0,2007-06-13,PLEN,0.0,194.0,245.0,5.0,2007,444.0,0.4369369369369369,41-50%
355379,2007,2007-06-12,EMP,Emenda de Plenário,,353741128.0,2007-06-27,PLEN,0.0,203.0,240.0,1.0,2007,444.0,0.4572072072072072,41-50%
355379,2007,2007-06-12,EMP,Emenda de Plenário,,353741160.0,2007-07-11,PLEN,0.0,190.0,247.0,2.0,2007,439.0,0.4328018223234624,41-50%
355380,2007,2007-06-12,EMP,Emenda de Plenário,,35374167.0,2007-06-13,PLEN,0.0,194.0,245.0,5.0,2007,444.0,0.4369369369369369,41-50%
355380,2007,2007-06-12,EMP,Emenda de Plenário,,353741160.0,2007-07-11,PLEN,0.0,190.0,247.0,2.0,2007,439.0,0.4328018223234624,41-50%
355380,2007,2007-06-12,EMP,Emenda de Plenário,,353741128.0,2007-06-27,PLEN,0.0,203.0,240.0,1.0,2007,444.0,0.4572072072072072,41-50%
355382,2007,2007-06-12,EMP,Emenda de Plenário,,353741160.0,2007-07-11,PLEN,0.0,190.0,247.0,2.0,2007,439.0,0.4328018223234624,41-50%
355382,2007,2007-06-12,EMP,Emenda de Plenário,,353741128.0,2007-06-27,PLEN,0.0,203.0,240.0,1.0,2007,444.0,0.4572072072072072,41-50%
355382,2007,2007-06-12,EMP,Emenda de Plenário,,35374167.0,2007-06-13,PLEN,0.0,194.0,245.0,5.0,2007,444.0,0.4369369369369369,41-50%
355384,2007,2007-06-12,EMP,Emenda de Plenário,,353741128.0,2007-06-27,PLEN,0.0,203.0,240.0,1.0,2007,444.0,0.4572072072072072,41-50%
355384,2007,2007-06-12,EMP,Emenda de Plenário,,353741160.0,2007-07-11,PLEN,0.0,190.0,247.0,2.0,2007,439.0,0.4328018223234624,41-50%
355384,2007,2007-06-12,EMP,Emenda de Plenário,,35374167.0,2007-06-13,PLEN,0.0,194.0,245.0,5.0,2007,444.0,0.4369369369369369,41-50%
355387,2007,2007-06-13,EMP,Emenda de Plenário,,353741160.0,2007-07-11,PLEN,0.0,190.0,247.0,2.0,2007,439.0,0.4328018223234624,41-50%
355387,2007,2007-06-13,EMP,Emenda de Plenário,,353741128.0,2007-06-27,PLEN,0.0,203.0,240.0,1.0,2007,444.0,0.4572072072072072,41-50%
355391,2007,2007-06-13,EMP,Emenda de Plenário,,353741128.0,2007-06-27,PLEN,0.0,203.0,240.0,1.0,2007,444.0,0.4572072072072072,41-50%
355391,2007,2007-06-13,EMP,Emenda de Plenário,,353741160.0,2007-07-11,PLEN,0.0,190.0,247.0,2.0,2007,439.0,0.4328018223234624,41-50%
355392,2007,2007-06-13,EMP,Emenda de Plenário,,353741128.0,2007-06-27,PLEN,0.0,203.0,240.0,1.0,2007,444.0,0.4572072072072072,41-50%
355392,2007,2007-06-13,EMP,Emenda de Plenário,,353741160.0,2007-07-11,PLEN,0.0,190.0,247.0,2.0,2007,439.0,0.4328018223234624,41-50%
355381,2007,2007-06-13,EMP,Emenda de Plenário,,353741128.0,2007-06-27,PLEN,0.0,203.0,240.0,1.0,2007,444.0,0.4572072072072072,41-50%
355381,2007,2007-06-13,EMP,Emenda de Plenário,,353741160.0,2007-07-11,PLEN,0.0,190.0,247.0,2.0,2007,439.0,0.4328018223234624,41-50%
355383,2007,2007-06-13,EMP,Emenda de Plenário,,353741128.0,2007-06-27,PLEN,0.0,203.0,240.0,1.0,2007,444.0,0.4572072072072072,41-50%
355383,2007,2007-06-13,EMP,Emenda de Plenário,,353741160.0,2007-07-11,PLEN,0.0,190.0,247.0,2.0,2007,439.0,0.4328018223234624,41-50%
355288,2007,2007-06-04,EMP,Emenda de Plenário,,353741160.0,2007-07-11,PLEN,0.0,190.0,247.0,2.0,2007,439.0,0.4328018223234624,41-50%
